".Suwannee County, Florida","46,130",688.586,3.67,692.256
".Taylor County, Florida","21,582",1043.337,468.562,1511.899
".Union County, Florida","15,532",243.555,6.197,249.752
".Volusia County, Florida","590,357",1101.116,331.321,1432.437
".Wakulla County, Florida","36,449",606.418,310.469,916.887
".Walton County, Florida","86,354",1038.304,371.145,1409.449
".Washington County, Florida","25,602",584.677,31.277,615.954
".Appling County, Georgia","18,457",508.263,3.999,512.262
".Atkinson County, Georgia","8,293",342.721,1.813,344.534
".Bacon County, Georgia","11,124",284.085,1.738,285.823
".Baker County, Georgia","2,743",341.957,7.181,349.138
".Baldwin County, Georgia","43,396",258.699,9.577,268.276
".Banks County, Georgia","19,789",232.657,1.79,234.447
".Barrow County, Georgia","92,792",161.052,1.88,162.932
".Bartow County, Georgia","115,041",458.912,10.566,469.478
".Ben Hill County, Georgia","17,128",250.118,3.789,253.907
".Berrien County, Georgia","18,570",453.376,4.506,457.882
".Bibb County, Georgia","156,512",249.383,5.523,254.906
".Bleckley County, Georgia","12,465",215.878,3.253,219.131
".Brantley County, Georgia","18,401",443.235,3.974,447.209
".Brooks County, Georgia","16,245",493.184,4.616,497.8
".Bryan County, Georgia","49,739",437.564,16.892,454.456
".Bulloch County, Georgia","84,327",675.963,12.675,688.638
".Burke County, Georgia","24,438",827.042,7.94,834.982
".Butts County, Georgia","26,887",183.69,4.351,188.041
".Calhoun County, Georgia","5,457",280.384,3.194,283.578
".Camden County, Georgia","58,118",630.272,151.636,781.908
".Candler County, Georgia","11,059",243.059,5.799,248.858
".Carroll County, Georgia","127,098",499.116,4.588,503.704
".Catoosa County, Georgia","68,910",162.162,0.298,162.46
".Charlton County, Georgia","12,934",780.087,2.302,782.389
".Chatham County, Georgia","303,655",432.719,197.255,629.974
".Chattahoochee County, Georgia","8,661",248.737,2.424,251.161
".Chattooga County, Georgia","25,222",313.327,0.22,313.547
".Cherokee County, Georgia","286,602",420.955,13.286,434.241
".Clarke County, Georgia","129,933",119.3,1.844,121.144
".Clay County, Georgia","2,853",195.404,21.833,217.237
".Clayton County, Georgia","298,300",141.703,2.67,144.373
".Clinch County, Georgia","6,746",815,8.993,823.993
".Cobb County, Georgia","776,743",339.69,4.647,344.337
".Coffee County, Georgia","43,317",592.249,10.401,602.65
".Colquitt County, Georgia","46,167",547.067,9.572,556.639
".Columbia County, Georgia","165,162",290.194,17.508,307.702
".Cook County, Georgia","17,714",228.454,4.749,233.203
".Coweta County, Georgia","155,892",440.996,4.894,445.89
".Crawford County, Georgia","12,277",324.914,1.539,326.453
".Crisp County, Georgia","19,631",272.68,8.266,280.946
".Dade County, Georgia","16,165",174.076,0.189,174.265
".Dawson County, Georgia","31,732",210.828,3.58,214.408
".Decatur County, Georgia","29,087",597.239,25.929,623.168
".DeKalb County, Georgia","762,992",267.666,3.417,271.083
".Dodge County, Georgia","19,776",495.969,7.148,503.117
".Dooly County, Georgia","10,981",392.631,4.688,397.319
".Dougherty County, Georgia","82,645",328.644,5.928,334.572
".Douglas County, Georgia","149,160",200.136,0.919,201.055
".Early County, Georgia","10,563",512.6,3.746,516.346
".Echols County, Georgia","3,709",420.407,0.313,420.72
".Effingham County, Georgia","71,541",478.83,4.074,482.904
".Elbert County, Georgia","20,013",351.103,23.113,374.216
".Emanuel County, Georgia","23,119",680.574,9.61,690.184
".Evans County, Georgia","10,754",182.893,3.977,186.87
".Fannin County, Georgia","25,955",387.106,5.201,392.307
".Fayette County, Georgia","123,351",194.695,4.935,199.63
".Floyd County, Georgia","100,113",509.833,8.632,518.465
".Forsyth County, Georgia","272,887",224.617,22.55,247.167
".Franklin County, Georgia","24,782",261.342,4.924,266.266
".Fulton County, Georgia","1,079,105",526.83,7.969,534.799
".Gilmer County, Georgia","32,860",426.181,4.763,430.944
".Glascock County, Georgia","2,954",143.746,0.708,144.454
".Glynn County, Georgia","86,172",419.623,165.692,585.315
".Gordon County, Georgia","59,757",356.457,2.213,358.67
".Grady County, Georgia","26,066",454.462,5.802,460.264
".Greene County, Georgia","20,722",387.517,18.694,406.211
".Gwinnett County, Georgia","983,526",431.126,6.059,437.185
".Habersham County, Georgia","48,757",276.867,2.19,279.057
".Hall County, Georgia","217,267",392.469,36.158,428.627
".Hancock County, Georgia","8,676",471.067,6.749,477.816
".Haralson County, Georgia","32,038",282.165,1.01,283.175
".Harris County, Georgia","36,654",463.818,9.139,472.957
".Hart County, Georgia","27,556",232.422,24.526,256.948
".Heard County, Georgia","12,034",295.973,5.121,301.094
".Henry County, Georgia","254,613",318.709,7.82,326.529
".Houston County, Georgia","171,974",376.155,3.749,379.904
".Irwin County, Georgia","9,120",354.363,8.4,362.763
".Jackson County, Georgia","88,615",339.698,3.392,343.09
".Jasper County, Georgia","16,455",368.406,5.058,373.464
".Jeff Davis County, Georgia","14,906",330.919,4.479,335.398
".Jefferson County, Georgia","15,183",526.555,3.112,529.667
".Jenkins County, Georgia","8,627",347.378,5.095,352.473
".Johnson County, Georgia","9,282",303.019,3.574,306.593
".Jones County, Georgia","28,969",393.942,1.475,395.417
".Lamar County, Georgia","20,401",183.501,2.334,185.835
".Lanier County, Georgia","10,452",196.538,3.251,199.789
".Laurens County, Georgia","49,941",807.336,11.135,818.471
".Lee County, Georgia","33,872",355.844,5.949,361.793
".Liberty County, Georgia","69,210",516.463,86.056,602.519
".Lincoln County, Georgia","7,879",210.381,46.917,257.298
".Long County, Georgia","19,594",400.399,3.422,403.821
".Lowndes County, Georgia","120,712",497.25,13.325,510.575
".Lumpkin County, Georgia","35,258",282.944,1.265,284.209
